iter	Passed	Remaining
0	31	31775
1	63	31614
2	93	31024
3	124	31093
4	158	31491
5	192	31937
6	226	32194
7	257	31973
8	293	32274
9	325	32215
10	359	32305
11	388	32004
12	422	32050
13	459	32377
14	495	32545
15	524	32270
16	554	32065
17	586	32014
18	616	31840
19	649	31820
20	683	31846
21	716	31835
22	750	31866
23	783	31879
24	821	32023
25	857	32114
26	895	32263
27	928	32239
28	1043	34927
29	1150	37212
30	1211	37861
31	1243	37615
32	1278	37469
33	1312	37290
34	1348	37176
35	1383	37040
36	1415	36851
37	1447	36635
38	1477	36402
39	1508	36197
40	1538	35979
41	1569	35806
42	1608	35788
43	1639	35627
44	1674	35539
45	1706	35387
46	1738	35242
47	1773	35180
48	1803	35003
49	1833	34845
50	1866	34736
51	1899	34624
52	1929	34480
53	1962	34375
54	1995	34294
55	2029	34217
56	2066	34184
57	2101	34124
58	2135	34063
59	2169	33986
60	2194	33778
61	2219	33573
62	2243	33365
63	2272	33234
64	2298	33060
65	2339	33108
66	2368	32988
67	2393	32806
68	2418	32632
69	2444	32475
70	2468	32295
71	2494	32152
72	2520	32001
73	2545	31855
74	2571	31710
75	2596	31571
76	2621	31418
77	2647	31299
78	2673	31167
79	2698	31035
80	2723	30896
81	2747	30760
82	2771	30623
83	2796	30492
84	2824	30405
85	2850	30294
86	2876	30188
87	2902	30077
88	2925	29947
89	2950	29828
90	2974	29711
91	2998	29593
92	3022	29481
93	3047	29375
94	3071	29259
95	3094	29139
96	3119	29043
97	3143	28930
98	3167	28831
99	3191	28720
100	3216	28627
101	3240	28524
102	3265	28437
103	3289	28336
104	3313	28245
105	3340	28170
106	3363	28072
107	3394	28032
108	3419	27956
109	3445	27875
110	3470	27796
111	3495	27711
112	3518	27617
113	3543	27541
114	3569	27468
115	3594	27390
116	3617	27299
117	3640	27210
118	3663	27123
119	3687	27040
120	3711	26959
121	3734	26876
122	3757	26794
123	3784	26737
124	3810	26674
125	3834	26600
126	3860	26536
127	3884	26463
128	3913	26423
129	3937	26351
130	3962	26285
131	3990	26242
132	4015	26177
133	4040	26111
134	4063	26034
135	4087	25964
136	4111	25896
137	4133	25820
138	4155	25740
139	4180	25682
140	4205	25623
141	4232	25572
142	4256	25509
143	4282	25456
144	4307	25396
145	4329	25323
146	4353	25264
147	4378	25204
148	4401	25137
149	4424	25071
150	4452	25034
151	4477	24978
152	4502	24922
153	4526	24866
154	4551	24815
155	4574	24746
156	4598	24688
157	4621	24630
158	4647	24580
159	4672	24532
160	4696	24474
161	4723	24434
162	4754	24413
163	4781	24376
164	4825	24419
165	4859	24415
166	4886	24376
167	4914	24340
168	4941	24296
169	4972	24279
170	4998	24230
171	5026	24197
172	5056	24169
173	5089	24162
174	5115	24116
175	5142	24076
176	5166	24021
177	5189	23967
178	5213	23911
179	5238	23865
180	5263	23814
181	5289	23773
182	5313	23720
183	5336	23665
184	5360	23615
185	5386	23573
186	5412	23531
187	5435	23477
188	5458	23422
189	5483	23376
190	5510	23340
191	5534	23292
192	5559	23247
193	5583	23195
194	5607	23147
195	5632	23105
196	5656	23056
197	5680	23010
198	5705	22965
199	5731	22924
200	5757	22885
201	5781	22839
202	5812	22820
203	5836	22773
204	5859	22721
205	5883	22678
206	5908	22634
207	5933	22591
208	5958	22550
209	5984	22511
210	6017	22500
211	6041	22455
212	6066	22413
213	6091	22374
214	6123	22357
215	6152	22331
216	6183	22313
217	6210	22276
218	6238	22247
219	6263	22205
220	6287	22162
221	6309	22112
222	6332	22065
223	6356	22022
224	6382	21984
225	6405	21939
226	6429	21895
227	6453	21851
228	6475	21802
229	6499	21759
230	6522	21714
231	6546	21672
232	6573	21637
233	6597	21597
234	6620	21551
235	6643	21506
236	6673	21484
237	6699	21450
238	6724	21411
239	6748	21371
240	6773	21333
241	6797	21291
242	6822	21254
243	6846	21214
244	6870	21173
245	6894	21132
246	6923	21105
247	6947	21066
248	6970	21023
249	6996	20988
250	7020	20950
251	7045	20911
252	7066	20863
253	7088	20819
254	7113	20781
255	7136	20739
256	7170	20730
257	7195	20693
258	7220	20658
259	7251	20639
260	7276	20602
261	7299	20560
262	7323	20522
263	7345	20478
264	7372	20449
265	7396	20409
266	7416	20362
267	7440	20323
268	7466	20290
269	7490	20252
270	7514	20213
271	7538	20177
272	7569	20158
273	7595	20125
274	7620	20089
275	7650	20069
276	7679	20043
277	7706	20015
278	7732	19983
279	7756	19945
280	7780	19907
281	7804	19872
282	7828	19835
283	7853	19799
284	7877	19762
285	7902	19727
286	7924	19686
287	7946	19645
288	7971	19612
289	7994	19571
290	8019	19538
291	8044	19506
292	8068	19469
293	8094	19438
294	8118	19402
295	8142	19365
296	8169	19336
297	8193	19301
298	8218	19268
299	8246	19241
300	8271	19209
301	8293	19168
302	8327	19155
303	8351	19121
304	8373	19080
305	8396	19042
306	8419	19006
307	8443	18970
308	8469	18940
309	8498	18915
310	8521	18879
311	8548	18850
312	8573	18816
313	8597	18784
314	8623	18752
315	8646	18715
316	8668	18676
317	8691	18640
318	8715	18605
319	8741	18574
320	8771	18554
321	8797	18523
322	8823	18493
323	8846	18457
324	8872	18427
325	8895	18391
326	8919	18357
327	8943	18323
328	8968	18290
329	8991	18255
330	9017	18225
331	9040	18190
332	9064	18157
333	9088	18122
334	9112	18088
335	9134	18052
336	9159	18020
337	9183	17987
338	9206	17951
339	9231	17920
340	9255	17887
341	9280	17855
342	9308	17829
343	9330	17793
344	9353	17757
345	9379	17729
346	9405	17699
347	9428	17665
348	9452	17632
349	9477	17601
350	9500	17565
351	9525	17534
352	9550	17504
353	9574	17472
354	9598	17440
355	9622	17407
356	9645	17373
357	9669	17339
358	9691	17304
359	9713	17268
360	9737	17236
361	9765	17210
362	9794	17187
363	9818	17155
364	9841	17120
365	9864	17088
366	9890	17058
367	9914	17026
368	9940	16998
369	9967	16971
370	9998	16952
371	10024	16922
372	10047	16890
373	10073	16861
374	10096	16827
375	10115	16787
376	10138	16754
377	10174	16742
378	10199	16712
379	10223	16681
380	10247	16649
381	10271	16617
382	10298	16590
383	10321	16557
384	10345	16525
385	10369	16494
386	10392	16462
387	10416	16430
388	10440	16398
389	10463	16365
390	10488	16336
391	10513	16306
392	10536	16273
393	10561	16243
394	10585	16212
395	10609	16181
396	10631	16148
397	10653	16113
398	10674	16078
